Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price USD,Extended Price USD,
1,1,MCP6294-E/ST-ND,IC OPAMP GP 10MHZ RRO 14TSSOP,,1,0,1.58000,1.58,
2,1,AZ1117IH-5.0TRG1DICT-ND,IC REG LDO 5V 0.8A SOT223,,1,0,0.37000,0.37,
3,1,1727-7028-1-ND,IC D-TYPE POS TRG SNGL 8VSSOP,,1,0,0.51000,0.51,
4,1,296-18566-1-ND,IC GATE NAND 2CH 2-INP US8,,1,0,0.56000,0.56,
5,2,MT7350-ND,SENSOR CURRENT HALL 800A AC/DC,,2,0,22.05000,44.10,
6,3,1276-6455-1-ND,CAP CER 10UF 16V X5R 0805,,3,0,0.13000,0.39,
7,1,493-14343-1-ND,CAP ALUM 100UF 10% 10V RADIAL,,1,0,0.43000,0.43,
8,1,493-14344-1-ND,CAP ALUM 10UF 10% 16V RADIAL,,1,0,0.30000,0.30,
9,4,311-1365-1-ND,CAP CER 1UF 16V X7R 0805,,4,0,0.10000,0.40,
10,3,LL4148FSCT-ND,DIODE GEN PURP 100V 200MA SOD80,,3,0,0.10000,0.30,
11,2,CES521L3FCT-ND,DIODE SCHOTTKY 30V 200MA ESC,,2,0,0.19000,0.38,
12,1,507-1783-1-ND,PTC RESTTBLE 0.10A 60V CHIP 1210,,1,0,0.13000,0.13,
13,10,311-1.00KCRCT-ND,RES SMD 1K OHM 1% 1/8W 0805,,10,0,0.02100,0.21,
14,10,311-10KARCT-ND,RES SMD 10K OHM 5% 1/8W 0805,,10,0,0.01800,0.18,
15,10,311-100KCRCT-ND,RES SMD 100K OHM 1% 1/8W 0805,,10,0,0.02100,0.21,
16,10,RMCF0805JT12K0CT-ND,RES SMD 12K OHM 5% 1/8W 0805,,10,0,0.01600,0.16,
17,10,311-300KARCT-ND,RES SMD 300K OHM 5% 1/8W 0805,,10,0,0.01800,0.18,
18,2,A105870-ND,TRIMMER 10K OHM 0.5W TH,,2,0,0.95000,1.90,
